image,transcription,transliteration,length
img_00000,ꦚꦝꦮꦛꦥꦔ,nyadhawathapanga,6
img_00001,ꦢꦥ,dapa,2
img_00002,ꦤꦱꦛ,nasatha,3
img_00003,ꦗꦛꦚꦕ,jathanyaca,4
img_00004,ꦥꦠ,pata,2
img_00005,ꦠꦲꦪꦫ,tahayara,4
img_00006,ꦏꦕꦔ,kacanga,3
img_00007,ꦒꦥꦧꦲꦫꦧ,gapabaharaba,6
img_00008,ꦕꦭꦤꦧꦩ,calanabama,5
img_00009,ꦭꦩꦮꦒ,lamawaga,4
img_00010,ꦚꦗ,nyaja,2
img_00011,ꦠꦠꦗꦧꦛ,tatajabatha,5
img_00012,ꦗꦭꦤꦪꦒꦝ,jalanayagadha,6
img_00013,ꦭꦩꦱꦔꦔ,lamasanganga,5
img_00014,ꦚꦩꦝꦮꦲꦕ,nyamadhawahaca,6
img_00015,ꦪꦩꦥ,yamapa,3
img_00016,ꦚꦛꦒꦔꦱ,nyathagangasa,5
img_00017,ꦒꦩꦪꦏ,gamayaka,4
img_00018,ꦗꦚꦢ,janyada,3
img_00019,ꦛꦏꦠ,thakata,3
img_00020,ꦝꦫꦭ,dharala,3
img_00021,ꦥꦝꦫ,padhara,3
img_00022,ꦮꦝꦕꦢ,wadhacada,4
img_00023,ꦮꦚꦛꦒꦏꦢ,wanyathagakada,6
img_00024,ꦫꦥ,rapa,2
img_00025,ꦩꦢꦤꦲꦔ,madanahanga,5
img_00026,ꦪꦩꦫꦲꦮ,yamarahawa,5
img_00027,ꦛꦥ,thapa,2
img_00028,ꦲꦭꦗ,halaja,3
img_00029,ꦥꦲꦏꦔꦠꦱ,pahakangatasa,6
img_00030,ꦥꦪ,paya,2
img_00031,ꦗꦱꦗꦏꦤꦱ,jasajakanasa,6
img_00032,ꦏꦤ,kana,2
img_00033,ꦧꦭꦩꦠꦲꦤ,balamatahana,6
img_00034,ꦒꦧꦪꦧ,gabayaba,4
img_00035,ꦢꦏꦪꦏꦤ,dakayakana,5
img_00036,ꦚꦚꦢꦕ,nyanyadaca,4
img_00037,ꦛꦛꦕ,thathaca,3
img_00038,ꦥꦔꦲꦭꦩ,pangahalama,5
img_00039,ꦠꦪꦏꦚꦗꦤ,tayakanyajana,6
img_00040,ꦠꦥ,tapa,2
img_00041,ꦏꦧꦔꦱꦮꦝ,kabangasawadha,6
img_00042,ꦒꦫ,gara,2
img_00043,ꦢꦝ,dadha,2
img_00044,ꦧꦒꦛ,bagatha,3
img_00045,ꦗꦔ,janga,2
img_00046,ꦢꦏ,daka,2
img_00047,ꦗꦚ,janya,2
img_00048,ꦫꦛꦭꦒ,rathalaga,4
img_00049,ꦚꦩꦠ,nyamata,3
img_00050,ꦱꦗ,saja,2
img_00051,ꦥꦏꦠꦠꦭ,pakatatala,5
img_00052,ꦒꦠꦢꦥ,gatadapa,4
img_00053,ꦢꦗꦢꦱ,dajadasa,4
img_00054,ꦠꦫ,tara,2
img_00055,ꦗꦭꦕꦲ,jalacaha,4
img_00056,ꦏꦲꦭ,kahala,3
img_00057,ꦱꦥꦥ,sapapa,3
img_00058,ꦩꦫ,mara,2
img_00059,ꦛꦔꦏꦱ,thangakasa,4
img_00060,ꦏꦕꦥꦔꦤꦱ,kacapanganasa,6
img_00061,ꦔꦔꦧꦭꦮꦒ,ngangabalawaga,6
img_00062,ꦲꦕꦝꦥꦧ,hacadhapaba,5
img_00063,ꦚꦚ,nyanya,2
img_00064,ꦕꦫꦱꦗꦱ,carasajasa,5
img_00065,ꦠꦭꦛꦪꦧ,talathayaba,5
img_00066,ꦒꦒꦔꦭ,gagangala,4
img_00067,ꦠꦩꦱꦩꦒ,tamasamaga,5
img_00068,ꦧꦏꦤ,bakana,3
img_00069,ꦠꦗꦥꦒ,tajapaga,4
img_00070,ꦝꦮꦱꦧ,dhawasaba,4
img_00071,ꦢꦒꦥ,dagapa,3
img_00072,ꦝꦛꦚ,dhathanya,3
img_00073,ꦒꦧꦪꦮ,gabayawa,4
img_00074,ꦲꦔꦝ,hangadha,3
img_00075,ꦲꦢꦥꦩ,hadapama,4
img_00076,ꦏꦭꦩ,kalama,3
img_00077,ꦪꦭꦗꦥ,yalajapa,4
img_00078,ꦕꦱꦤꦚ,casananya,4
img_00079,ꦝꦛ,dhatha,2
img_00080,ꦒꦤꦮꦮ,ganawawa,4
img_00081,ꦤꦮꦪꦤꦚꦭ,nawayananyala,6
img_00082,ꦚꦏꦩ,nyakama,3
img_00083,ꦲꦪꦭꦤ,hayalana,4
img_00084,ꦠꦗꦧ,tajaba,3
img_00085,ꦫꦠꦲꦲꦔꦢ,ratahahangada,6
img_00086,ꦠꦫꦛꦗꦧ,tarathajaba,5
img_00087,ꦧꦭꦪꦗꦕꦥ,balayajacapa,6
img_00088,ꦲꦏꦝꦧꦲꦥ,hakadhabahapa,6
img_00089,ꦝꦤ,dhana,2
img_00090,ꦥꦗ,paja,2
img_00091,ꦲꦛꦛꦮꦥꦛ,hathathawapatha,6
img_00092,ꦢꦕꦩꦝꦒ,dacamadhaga,5
img_00093,ꦪꦛꦔꦕ,yathangaca,4
img_00094,ꦪꦗꦮ,yajawa,3
img_00095,ꦱꦲꦮꦱꦕꦔ,sahawasacanga,6
img_00096,ꦒꦚꦕꦏꦱꦥ,ganyacakasapa,6
img_00097,ꦕꦠꦒ,cataga,3
img_00098,ꦧꦩꦱꦤ,bamasana,4
img_00099,ꦔꦕꦧꦱꦫ,ngacabasara,5
img_00100,ꦱꦗꦢꦠ,sajadata,4
img_00101,ꦠꦮꦧꦔꦤꦩ,tawabanganama,6
img_00102,ꦭꦪꦔ,layanga,3
img_00103,ꦥꦫꦮꦤꦒ,parawanaga,5
img_00104,ꦚꦏꦕꦩ,nyakacama,4
img_00105,ꦕꦔꦕ,cangaca,3
img_00106,ꦕꦔ,canga,2
img_00107,ꦮꦩ,wama,2
img_00108,ꦒꦲ,gaha,2
img_00109,ꦩꦝꦝꦔꦧꦕ,madhadhangabaca,6
img_00110,ꦢꦢꦢ,dadada,3
img_00111,ꦧꦲꦠꦛꦝ,bahatathadha,5
img_00112,ꦢꦩꦭ,damala,3
img_00113,ꦲꦝꦭꦝ,hadhaladha,4
img_00114,ꦏꦤꦒꦒꦲꦤ,kanagagahana,6
img_00115,ꦥꦔꦲ,pangaha,3
img_00116,ꦫꦩꦢꦱꦕ,ramadasaca,5
img_00117,ꦝꦒꦗ,dhagaja,3
img_00118,ꦤꦧꦫꦠꦒ,nabarataga,5
img_00119,ꦝꦥꦪꦥꦭꦒ,dhapayapalaga,6
img_00120,ꦒꦮꦭꦕ,gawalaca,4
img_00121,ꦠꦧꦲ,tabaha,3
img_00122,ꦫꦱ,rasa,2
img_00123,ꦥꦝꦝꦫ,padhadhara,4
img_00124,ꦕꦢꦫꦫ,cadarara,4
img_00125,ꦝꦫꦲꦮꦏ,dharahawaka,5
img_00126,ꦪꦮꦠꦝꦚ,yawatadhanya,5
img_00127,ꦤꦏꦩꦒ,nakamaga,4
img_00128,ꦏꦭ,kala,2
img_00129,ꦩꦫ,mara,2
img_00130,ꦏꦭꦒꦢꦠ,kalagadata,5
img_00131,ꦕꦫꦧꦮ,carabawa,4
img_00132,ꦗꦛꦮ,jathawa,3
img_00133,ꦥꦪꦭ,payala,3
img_00134,ꦛꦪ,thaya,2
img_00135,ꦩꦧ,maba,2
img_00136,ꦩꦭꦮꦪꦔꦠ,malawayangata,6
img_00137,ꦚꦚꦕꦮ,nyanyacawa,4
img_00138,ꦕꦔꦩꦤꦝ,cangamanadha,5
img_00139,ꦲꦪꦚ,hayanya,3
img_00140,ꦕꦩꦮꦪ,camawaya,4
img_00141,ꦥꦗꦚꦥ,pajanyapa,4
img_00142,ꦭꦤꦱꦚꦩꦒ,lanasanyamaga,6
img_00143,ꦚꦥꦥꦱꦲ,nyapapasaha,5
img_00144,ꦤꦝꦚꦠꦮꦗ,nadhanyatawaja,6
img_00145,ꦧꦲꦩ,bahama,3
img_00146,ꦢꦠꦢꦗ,datadaja,4
img_00147,ꦛꦥꦝ,thapadha,3
img_00148,ꦕꦛꦱꦗꦕ,cathasajaca,5
img_00149,ꦔꦝꦥ,ngadhapa,3
img_00150,ꦧꦥ,bapa,2
img_00151,ꦪꦤꦛ,yanatha,3
img_00152,ꦩꦕ,maca,2
img_00153,ꦛꦩꦱꦒ,thamasaga,4
img_00154,ꦝꦭꦝ,dhaladha,3
img_00155,ꦠꦧꦪꦢ,tabayada,4
img_00156,ꦫꦒꦕ,ragaca,3
img_00157,ꦱꦛꦩꦗꦲ,sathamajaha,5
img_00158,ꦩꦛꦪꦕꦭꦝ,mathayacaladha,6
img_00159,ꦫꦝ,radha,2
img_00160,ꦮꦝꦔꦕꦲ,wadhangacaha,5
img_00161,ꦛꦥꦩ,thapama,3
img_00162,ꦥꦥꦭ,papala,3
img_00163,ꦫꦏ,raka,2
img_00164,ꦗꦱꦧꦲꦚꦪ,jasabahanyaya,6
img_00165,ꦚꦢꦫꦮꦔꦲ,nyadarawangaha,6
img_00166,ꦭꦤꦭꦠꦪꦥ,lanalatayapa,6
img_00167,ꦒꦛꦕ,gathaca,3
img_00168,ꦝꦔꦭꦕ,dhangalaca,4
img_00169,ꦗꦥꦱ,japasa,3
img_00170,ꦗꦭꦫ,jalara,3
img_00171,ꦠꦪ,taya,2
img_00172,ꦱꦔꦤꦮꦔ,sanganawanga,5
img_00173,ꦔꦠ,ngata,2
img_00174,ꦔꦪꦮꦱꦫꦢ,ngayawasarada,6
img_00175,ꦲꦕꦕ,hacaca,3
img_00176,ꦥꦠꦒꦤꦚꦏ,patagananyaka,6
img_00177,ꦗꦒꦠꦱꦧꦪ,jagatasabaya,6
img_00178,ꦏꦛꦭꦚ,kathalanya,4
img_00179,ꦱꦧꦭꦥꦢ,sabalapada,5
img_00180,ꦏꦲ,kaha,2
img_00181,ꦝꦒꦪꦔꦔꦲ,dhagayangangaha,6
img_00182,ꦛꦫꦗꦫꦏꦲ,tharajarakaha,6
img_00183,ꦫꦪꦔꦥꦏ,rayangapaka,5
img_00184,ꦩꦮ,mawa,2
img_00185,ꦗꦠꦤ,jatana,3
img_00186,ꦛꦤꦲꦢꦚ,thanahadanya,5
img_00187,ꦲꦪ,haya,2
img_00188,ꦗꦛꦒꦒꦕꦮ,jathagagacawa,6
img_00189,ꦛꦤꦲꦔ,thanahanga,4
img_00190,ꦒꦱꦏꦮ,gasakawa,4
img_00191,ꦠꦱꦮꦛꦥꦫ,tasawathapara,6
img_00192,ꦩꦪ,maya,2
img_00193,ꦲꦕꦚ,hacanya,3
img_00194,ꦤꦫꦤꦭꦪ,naranalaya,5
img_00195,ꦗꦢꦪꦧꦤꦪ,jadayabanaya,6
img_00196,ꦠꦢꦏ,tadaka,3
img_00197,ꦪꦩꦮꦔꦤ,yamawangana,5
img_00198,ꦫꦚ,ranya,2
img_00199,ꦛꦝꦠꦗꦚ,thadhatajanya,5
img_00200,ꦛꦧꦮꦪꦝ,thabawayadha,5
img_00201,ꦝꦧꦱꦢꦤꦏ,dhabasadanaka,6
img_00202,ꦚꦱꦫꦪ,nyasaraya,4
img_00203,ꦧꦩꦏꦒ,bamakaga,4
img_00204,ꦤꦠꦮꦏ,natawaka,4
img_00205,ꦩꦒꦥ,magapa,3
img_00206,ꦕꦫꦝꦏ,caradhaka,4
img_00207,ꦔꦲꦫꦱꦧ,ngaharasaba,5
img_00208,ꦤꦔ,nanga,2
img_00209,ꦗꦝꦢꦒꦕ,jadhadagaca,5
img_00210,ꦭꦠꦠ,latata,3
img_00211,ꦔꦥꦩꦛꦧꦪ,ngapamathabaya,6
img_00212,ꦱꦕꦤ,sacana,3
img_00213,ꦏꦧꦫꦚꦏꦕ,kabaranyakaca,6
img_00214,ꦱꦲꦕꦩ,sahacama,4
img_00215,ꦗꦤ,jana,2
img_00216,ꦒꦪꦫ,gayara,3
img_00217,ꦲꦩꦔ,hamanga,3
img_00218,ꦱꦩꦭꦗ,samalaja,4
img_00219,ꦢꦚꦮꦢꦮꦠ,danyawadawata,6
img_00220,ꦫꦱ,rasa,2
img_00221,ꦛꦚꦔꦤꦠ,thanyanganata,5
img_00222,ꦥꦤꦠꦤꦫ,panatanara,5
img_00223,ꦠꦭꦱꦢ,talasada,4
img_00224,ꦮꦒꦩ,wagama,3
img_00225,ꦠꦛꦔ,tathanga,3
img_00226,ꦔꦤ,ngana,2
img_00227,ꦩꦒꦧ,magaba,3
img_00228,ꦩꦱꦕꦮꦥꦝ,masacawapadha,6
img_00229,ꦤꦏ,naka,2
img_00230,ꦮꦝꦝꦏꦲꦕ,wadhadhakahaca,6
img_00231,ꦠꦏ,taka,2
img_00232,ꦭꦭ,lala,2
img_00233,ꦲꦛꦤꦮꦮꦗ,hathanawawaja,6
img_00234,ꦲꦫ,hara,2
img_00235,ꦏꦥꦭꦥꦮꦭ,kapalapawala,6
img_00236,ꦏꦛꦛ,kathatha,3
img_00237,ꦒꦚꦫꦥꦫ,ganyarapara,5
img_00238,ꦥꦛꦲꦫꦫꦪ,pathahararaya,6
img_00239,ꦢꦢ,dada,2
img_00240,ꦛꦠꦲ,thataha,3
img_00241,ꦮꦠꦲ,wataha,3
img_00242,ꦗꦚꦱꦗꦧ,janyasajaba,5
img_00243,ꦪꦝ,yadha,2
img_00244,ꦕꦭ,cala,2
img_00245,ꦒꦏ,gaka,2
img_00246,ꦕꦛꦭ,cathala,3
img_00247,ꦮꦮꦩꦒ,wawamaga,4
img_00248,ꦕꦒꦒꦠꦤ,cagagatana,5
img_00249,ꦫꦱꦒꦗꦚꦱ,rasagajanyasa,6
img_00250,ꦠꦫꦭꦧ,taralaba,4
img_00251,ꦤꦗꦗꦔꦩ,najajangama,5
img_00252,ꦠꦮꦮ,tawawa,3
img_00253,ꦪꦝꦔꦪ,yadhangaya,4
img_00254,ꦪꦥꦮ,yapawa,3
img_00255,ꦮꦲꦒꦱꦩꦲ,wahagasamaha,6
img_00256,ꦒꦕꦤ,gacana,3
img_00257,ꦧꦛꦒꦝꦧꦱ,bathagadhabasa,6
img_00258,ꦩꦧꦩꦢꦕꦲ,mabamadacaha,6
img_00259,ꦭꦥꦫꦔꦢ,laparangada,5
img_00260,ꦠꦥ,tapa,2
img_00261,ꦕꦗꦭꦢꦩꦥ,cajaladamapa,6
img_00262,ꦱꦗꦩꦧꦗ,sajamabaja,5
img_00263,ꦧꦧꦭꦏꦔꦧ,babalakangaba,6
img_00264,ꦏꦚꦭ,kanyala,3
img_00265,ꦤꦗꦚꦧꦢꦕ,najanyabadaca,6
img_00266,ꦱꦔꦱꦭꦒꦕ,sangasalagaca,6
img_00267,ꦮꦫ,wara,2
img_00268,ꦔꦲꦔꦏ,ngahangaka,4
img_00269,ꦫꦤꦏ,ranaka,3
img_00270,ꦔꦥ,ngapa,2
img_00271,ꦒꦥꦔꦠꦥ,gapangatapa,5
img_00272,ꦢꦲꦏꦢꦏ,dahakadaka,5
img_00273,ꦛꦲꦗ,thahaja,3
img_00274,ꦱꦛꦱꦫꦩ,sathasarama,5
img_00275,ꦪꦝꦪ,yadhaya,3
img_00276,ꦚꦧꦥꦮ,nyabapawa,4
img_00277,ꦏꦧ,kaba,2
img_00278,ꦮꦒꦩꦗꦢ,wagamajada,5
img_00279,ꦢꦠꦚꦠꦥꦏ,datanyatapaka,6
img_00280,ꦭꦧꦭꦕ,labalaca,4
img_00281,ꦭꦮꦪ,lawaya,3
img_00282,ꦲꦥꦏꦢꦪ,hapakadaya,5
img_00283,ꦥꦕꦲꦧꦫꦱ,pacahabarasa,6
img_00284,ꦏꦚ,kanya,2
img_00285,ꦚꦩꦢꦏꦭꦥ,nyamadakalapa,6
img_00286,ꦫꦥꦠꦪ,rapataya,4
img_00287,ꦛꦲꦱꦤ,thahasana,4
img_00288,ꦱꦏ,saka,2
img_00289,ꦚꦱꦱꦲꦚꦏ,nyasasahanyaka,6
img_00290,ꦫꦝꦮꦩꦪ,radhawamaya,5
img_00291,ꦚꦔꦧꦚꦔꦫ,nyangabanyangara,6
img_00292,ꦭꦔꦏꦚ,langakanya,4
img_00293,ꦲꦝꦪ,hadhaya,3
img_00294,ꦢꦤ,dana,2
img_00295,ꦚꦔꦝꦠ,nyangadhata,4
img_00296,ꦝꦗꦛꦕ,dhajathaca,4
img_00297,ꦛꦠꦚꦮꦮ,thatanyawawa,5
img_00298,ꦱꦏꦔ,sakanga,3
img_00299,ꦱꦚꦤꦕꦱ,sanyanacasa,5
img_00300,ꦫꦫꦮꦫꦤ,rarawarana,5
img_00301,ꦝꦝꦕꦚꦱ,dhadhacanyasa,5
img_00302,ꦧꦝ,badha,2
img_00303,ꦥꦪꦗꦗꦲꦕ,payajajahaca,6
img_00304,ꦪꦧ,yaba,2
img_00305,ꦏꦮꦲꦱꦏ,kawahasaka,5
img_00306,ꦪꦭꦕ,yalaca,3
img_00307,ꦫꦚ,ranya,2
img_00308,ꦫꦫꦛꦤꦩ,rarathanama,5
img_00309,ꦮꦚ,wanya,2
img_00310,ꦫꦔꦚꦚ,ranganyanya,4
img_00311,ꦱꦕꦱꦛꦚ,sacasathanya,5
img_00312,ꦱꦝꦝꦫꦒꦗ,sadhadharagaja,6
img_00313,ꦛꦩꦤꦔꦒꦮ,thamanangagawa,6
img_00314,ꦕꦮꦤꦥꦩ,cawanapama,5
img_00315,ꦪꦪꦭꦝꦏ,yayaladhaka,5
img_00316,ꦩꦗꦕ,majaca,3
img_00317,ꦥꦲꦭꦤꦛ,pahalanatha,5
img_00318,ꦢꦏ,daka,2
img_00319,ꦧꦔꦮ,bangawa,3
img_00320,ꦢꦪꦫꦗ,dayaraja,4
img_00321,ꦢꦗꦱꦥ,dajasapa,4
img_00322,ꦕꦫꦩ,carama,3
img_00323,ꦏꦔ,kanga,2
img_00324,ꦠꦧꦫꦤ,tabarana,4
img_00325,ꦏꦠꦚ,katanya,3
img_00326,ꦗꦲꦕ,jahaca,3
img_00327,ꦪꦗꦲ,yajaha,3
img_00328,ꦪꦗꦠꦠꦪ,yajatataya,5
img_00329,ꦮꦔꦩꦪ,wangamaya,4
img_00330,ꦕꦗ,caja,2
img_00331,ꦢꦭꦩꦕꦝꦱ,dalamacadhasa,6
img_00332,ꦠꦢ,tada,2
img_00333,ꦗꦝꦭꦏꦥꦫ,jadhalakapara,6
img_00334,ꦲꦪꦭ,hayala,3
img_00335,ꦢꦱꦱꦤꦭ,dasasanala,5
img_00336,ꦮꦤ,wana,2
