image,transcription,transliteration,length
h_img_00039.png,ꦗꦔꦫꦠꦢꦮ,jangaratadawa,6
h_img_00281.png,ꦢꦮꦠꦗ,dawataja,4
h_img_00173.png,ꦲꦚꦮꦥꦚ,hanyawapanya,5
h_img_00267.png,ꦚꦪꦔ,nyayanga,3
h_img_00036.png,ꦤꦱ,nasa,2
h_img_00082.png,ꦔꦠꦕꦕꦒ,ngatacacaga,5
h_img_00274.png,ꦒꦲꦭꦤꦭꦥ,gahalanalapa,6
h_img_00051.png,ꦱꦩꦢꦱꦠ,samadasata,5
h_img_00391.png,ꦧꦠꦥ,batapa,3
h_img_00130.png,ꦛꦮꦮꦢꦏꦏ,thawawadakaka,6
h_img_00230.png,ꦫꦭꦥꦠ,ralapata,4
h_img_00022.png,ꦥꦲꦏꦝꦫ,pahakadhara,5
h_img_00091.png,ꦚꦥꦲ,nyapaha,3
h_img_00165.png,ꦱꦮꦱꦗꦩ,sawasajama,5
h_img_00098.png,ꦥꦒ,paga,2
h_img_00139.png,ꦢꦒ,daga,2
h_img_00229.png,ꦲꦢꦠꦮ,hadatawa,4
h_img_00216.png,ꦫꦏꦝꦮꦒꦤ,rakadhawagana,6
h_img_00183.png,ꦒꦠ,gata,2
h_img_00224.png,ꦱꦩꦒꦛ,samagatha,4
h_img_00104.png,ꦗꦒꦪꦫꦕ,jagayaraca,5
h_img_00017.png,ꦲꦛꦥ,hathapa,3
h_img_00233.png,ꦛꦢ,thada,2
h_img_00352.png,ꦮꦏꦢꦫ,wakadara,4
h_img_00152.png,ꦔꦗꦮ,ngajawa,3
h_img_00028.png,ꦕꦤꦠꦠꦠꦩ,canatatatama,6
h_img_00151.png,ꦧꦏ,baka,2
h_img_00231.png,ꦱꦭ,sala,2
h_img_00389.png,ꦲꦲꦱꦩ,hahasama,4
h_img_00180.png,ꦪꦕꦲꦲꦮ,yacahahawa,5
h_img_00291.png,ꦪꦭꦧꦩ,yalabama,4
h_img_00158.png,ꦧꦒꦏꦧꦥ,bagakabapa,5
h_img_00114.png,ꦭꦤꦏꦧꦫ,lanakabara,5
h_img_00177.png,ꦧꦢꦛꦔꦭ,badathangala,5
h_img_00010.png,ꦠꦠꦫꦕꦥꦤ,tataracapana,6
h_img_00312.png,ꦢꦔ,danga,2
h_img_00070.png,ꦢꦱꦪ,dasaya,3
h_img_00113.png,ꦮꦫꦧꦚ,warabanya,4
h_img_00011.png,ꦧꦏꦮꦏ,bakawaka,4
h_img_00060.png,ꦚꦥꦩ,nyapama,3
h_img_00294.png,ꦢꦕꦧ,dacaba,3
h_img_00037.png,ꦕꦪꦤꦔꦗꦫ,cayanangajara,6
h_img_00166.png,ꦒꦛꦲꦩꦝ,gathahamadha,5
h_img_00366.png,ꦪꦠ,yata,2
h_img_00141.png,ꦮꦫꦮꦕꦲꦪ,warawacahaya,6
h_img_00131.png,ꦫꦪꦤꦩꦫꦲ,rayanamaraha,6
h_img_00038.png,ꦢꦢ,dada,2
h_img_00093.png,ꦩꦛ,matha,2
h_img_00377.png,ꦔꦱꦝꦗꦤ,ngasadhajana,5
h_img_00021.png,ꦱꦛꦲꦤꦧ,sathahanaba,5
